id,name,first_name,last_name,title,office_level,office_branch,body,district,party,state,county,municipality,email,phone,website,twitter_handle,twitter_verified,facebook_url,photo_url,source,source_id,scraped_at
CO-CTY-kiowa-clerk,Adrienne Yates,Adrienne,Yates,County Clerk and Recorder,county,executive,,,,CO,Kiowa,,adrienne.yates@state.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-cheyenne-clerk,Allison Brown,Allison,Brown,County Clerk and Recorder,county,executive,,,,CO,Cheyenne,,clerk.cheyenne@gmail.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-jefferson-clerk,Amanda Gonzalez,Amanda,Gonzalez,County Clerk and Recorder,county,executive,,,,CO,Jefferson,,elections@votejeffco.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-washington-clerk,Annie I Kuntz,Annie,Kuntz,County Clerk and Recorder,county,executive,,,,CO,Washington,,akuntz@co.washington.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-eagle-clerk,Becky Close,Becky,Close,County Clerk and Recorder,county,executive,,,,CO,Eagle,,elections@eaglecounty.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-mesa-clerk,Bobbie Gross,Bobbie,Gross,County Clerk and Recorder,county,executive,,,,CO,Mesa,,voter.info@mesacounty.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-clearcreek-clerk,Brenda Corbett,Brenda,Corbett,County Clerk and Recorder,county,executive,,,,CO,Clear Creek,,clerk@clearcreekcounty.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-pueblo-clerk,Candace Rivera,Candace,Rivera,County Clerk and Recorder,county,executive,,,,CO,Pueblo,,elections@pueblocounty.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-weld-clerk,Carly Koppes,Carly,Koppes,County Clerk and Recorder,county,executive,,,,CO,Weld,,elections@weldgov.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-riogrande-clerk,Cindy Hill,Cindy,Hill,County Clerk and Recorder,county,executive,,,,CO,Rio Grande,,clerk@riograndecounty.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-lincoln-clerk,Corinne Lengel,Corinne,Lengel,County Clerk and Recorder,county,executive,,,,CO,Lincoln,,clengel@lincolncountyco.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-broomfield-clerk,Crystal Clemens,Crystal,Clemens,County Clerk and Recorder,county,executive,,,,CO,Broomfield,,electionsdivision@broomfield.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-ouray-clerk,Damon Todd,Damon,Todd,County Clerk and Recorder,county,executive,,,,CO,Ouray,,elections@ourayco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-huerfano-clerk,Erica Vigil,Erica,Vigil,County Clerk and Recorder,county,executive,,,,CO,Huerfano,,evigil@huerfano.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-mineral-clerk,Eryn Wintz,Eryn,Wintz,County Clerk and Recorder,county,executive,,,,CO,Mineral,,clerk@mincocolo.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-yuma-clerk,Haleigh Studer,Haleigh,Studer,County Clerk and Recorder,county,executive,,,,CO,Yuma,,yumacountyclerk@co.yuma.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-jackson-clerk,Hayle Johnson,Hayle,Johnson,County Clerk and Recorder,county,executive,,,,CO,Jackson,,hjohnson@jacksoncountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-pitkin-clerk,Ingrid Grueter,Ingrid,Grueter,County Clerk and Recorder,county,executive,,,,CO,Pitkin,,elections@pitkincounty.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-garfield-clerk,Jacklyn Harmon,Jacklyn,Harmon,County Clerk and Recorder,county,executive,,,,CO,Garfield,,elections@garfieldcountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-prowers-clerk,Jana Coen,Jana,Coen,County Clerk and Recorder,county,executive,,,,CO,Prowers,,jcoen@prowerscounty.net,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-routt-clerk,Jenny Thomas,Jenny,Thomas,County Clerk and Recorder,county,executive,,,,CO,Routt,,elections@co.routt.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-arapahoe-clerk,Joan Lopez,Joan,Lopez,County Clerk and Recorder,county,executive,,,,CO,Arapahoe,,elections@arapahoegov.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-hinsdale-clerk,Joan Roberts,Joan,Roberts,County Clerk and Recorder,county,executive,,,,CO,Hinsdale,,clerk@hinsdalecountycolorado.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
